ticker,current_universe_status,qualification,exchange_or_market,stocklookup_candidate,official_source,official_security_status
TAN,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TAP,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TB8,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TBH,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TBT,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TBW,OFFICIAL_ONLY_NOT_IN_STOCKLOOKUP,CANDIDATE_UNIVERSE_STALENESS_OR_GOVERNED_EXCLUSION_UNRESOLVED,UPCOM,False,hnx_official_equity_universe/v1,NOT_PROVIDED_BY_SOURCE_SURFACE
TBX,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TC6,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TDI,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TDN,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TEL,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
THI,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TKC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TKG,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TLI,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TLT,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TNM,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TNV,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TPH,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TQN,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TQW,OFFICIAL_ONLY_NOT_IN_STOCKLOOKUP,CANDIDATE_UNIVERSE_STALENESS_OR_GOVERNED_EXCLUSION_UNRESOLVED,UPCOM,False,hnx_official_equity_universe/v1,NOT_PROVIDED_BY_SOURCE_SURFACE
TS4,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TTP,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TVP,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
TVW,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
ULG,OFFICIAL_ONLY_NOT_IN_STOCKLOOKUP,CANDIDATE_UNIVERSE_STALENESS_OR_GOVERNED_EXCLUSION_UNRESOLVED,UPCOM,False,hnx_official_equity_universe/v1,NOT_PROVIDED_BY_SOURCE_SURFACE
UTT,OFFICIAL_ONLY_NOT_IN_STOCKLOOKUP,CANDIDATE_UNIVERSE_STALENESS_OR_GOVERNED_EXCLUSION_UNRESOLVED,UPCOM,False,hnx_official_equity_universe/v1,NOT_PROVIDED_BY_SOURCE_SURFACE
V11,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
V15,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
V68,OFFICIAL_ONLY_NOT_IN_STOCKLOOKUP,CANDIDATE_UNIVERSE_STALENESS_OR_GOVERNED_EXCLUSION_UNRESOLVED,UPCOM,False,hnx_official_equity_universe/v1,NOT_PROVIDED_BY_SOURCE_SURFACE
VAT,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
VC5,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
VCW,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
VDB,OFFICIAL_ONLY_NOT_IN_STOCKLOOKUP,CANDIDATE_UNIVERSE_STALENESS_OR_GOVERNED_EXCLUSION_UNRESOLVED,UPCOM,False,hnx_official_equity_universe/v1,NOT_PROVIDED_BY_SOURCE_SURFACE
VE2,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
VIH,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
VKD,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
VKP,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
VLF,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
VMI,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
VOC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
VSP,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
VTL,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
VTM,OFFICIAL_ONLY_NOT_IN_STOCKLOOKUP,CANDIDATE_UNIVERSE_STALENESS_OR_GOVERNED_EXCLUSION_UNRESOLVED,UPCOM,False,hnx_official_equity_universe/v1,NOT_PROVIDED_BY_SOURCE_SURFACE
VTS,STOCKLOOKUP_ONLY_UNRESOLVED,UNRESOLVED,UPCOM,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
XDC,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
