ticker,current_universe_status,qualification,exchange_or_market,stocklookup_candidate,official_source,official_security_status
DAN,STOCKLOOKUP_ONLY_UNRESOLVED,UNRESOLVED,UPCOM,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
DAR,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
DBH,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
DKW,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
DMS,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
DMX,OFFICIAL_ONLY_NOT_IN_STOCKLOOKUP,CANDIDATE_UNIVERSE_STALENESS_OR_GOVERNED_EXCLUSION_UNRESOLVED,HOSE,False,hose_public_stock_master/v1,NORMAL_OR_NO_SPECIAL_STATUS
DPD,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
DPS,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
DSV,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
DT4,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
DTB,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
DTE,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
DTV,STOCKLOOKUP_ONLY_UNRESOLVED,DELISTED_OR_NO_LONGER_CURRENT,DELISTED,True,,NOT_PROVIDED_BY_SOURCE_SURFACE
